"Participant","Media","AOI","Total_duration_of_fixations","Number_of_fixations","Average_pupil_diameter","Subtitle_Type","Modality","Clip","Wordcount","Line","Prop_reading_time","Mean_fixation_duration"
"Participant46","C3-ST","SUB",67.237,361,3.85576,"SS","Intralingual","C3",784,108,0.402906279961649,186.252077562327
"Participant40","E1-LC","SUB",135.944,509,3.72188,"AC","Interlingual","E1",497,53,0.513075607924245,267.080550098232
"Participant40","E2-SDH","SUB",103.005,416,3.55187,"SDH","Interlingual","E2",912,65,0.4358376562381,247.608173076923
"Participant40","E3-ST","SUB",45.294,228,3.49474,"SS","Interlingual","E3",521,61,0.188860349917441,198.657894736842
"Participant40","C1-LC","SUB",36.041,151,3.52931,"AC","Intralingual","C1",379,62,0.136328905162501,238.682119205298
"Participant40","C2-SDH","SUB",101.299,443,3.52459,"SDH","Intralingual","C2",792,75,0.383226397106669,228.665914221219
"Participant40","C3-ST","SUB",100.991,447,3.36947,"SS","Intralingual","C3",784,108,0.356798140244764,225.930648769575
"Participant28","E1-LC","SUB",126.351,417,5.81493,"AC","Interlingual","E1",497,53,0.567232323232323,303
"Participant28","E2-SDH","SUB",53.336,230,5.31692,"SDH","Interlingual","E2",912,65,0.435794358924077,231.895652173913
"Participant28","E3-ST","SUB",37.731,167,5.1784,"SS","Interlingual","E3",521,61,0.20738155435858,225.934131736527
"Participant14","C1-LC","SUB",35.237,154,3.11786,"AC","Intralingual","C1",379,62,0.142100721049151,228.811688311688
"Participant14","C2-SDH","SUB",95.777,445,3.36008,"SDH","Intralingual","C2",792,75,0.400489232699143,215.229213483146
"Participant14","C3-ST","SUB",83.692,416,3.08465,"SS","Intralingual","C3",784,108,0.344034924732597,201.182692307692
"Participant5","C1-LC","SUB",57.451,208,4.86042,"AC","Intralingual","C1",379,62,0.207826738099458,276.206730769231
"Participant5","C2-SDH","SUB",116.489,430,4.76662,"SDH","Intralingual","C2",792,75,0.43350551143595,270.904651162791
