"Participant","Media","AOI","Total_duration_of_fixations","Number_of_fixations","Average_pupil_diameter","Subtitle_Type","Modality","Clip","Wordcount","Line","Prop_reading_time","Mean_fixation_duration"
"Participant17","C2-LC","SUB",120.418,409,4.64318,"AC","Intralingual","C2",569,80,0.459710700419557,294.42053789731
"Participant17","C3-SDH","SUB",231.882,742,4.45084,"SDH","Intralingual","C3",986,116,0.809587319321276,312.509433962264
"Participant8","C1-ST","SUB",67.117,202,5.65369,"SS","Intralingual","C1",399,55,0.237105571806068,332.262376237624
"Participant8","C2-LC","SUB",57.651,162,5.40401,"AC","Intralingual","C2",569,80,0.217163327344024,355.87037037037
"Participant8","C3-SDH","SUB",102.975,417,4.93085,"SDH","Intralingual","C3",986,116,0.359645017532585,246.942446043165
"Participant8","E1-ST","SUB",73.257,255,5.89094,"SS","Interlingual","E1",480,47,0.319398846350045,287.282352941176
"Participant8","E2-LC","SUB",134.772,515,5.61496,"AC","Interlingual","E2",674,63,0.545346395231679,261.693203883495
"Participant8","E3-SDH","SUB",38.089,183,5.49649,"SDH","Interlingual","E3",574,65,0.189992817095313,208.136612021858
"Participant48","C1-ST","SUB",52.889,337,5.79379,"SS","Intralingual","C1",399,55,0.329411544881537,156.940652818991
"Participant48","C2-LC","SUB",44.887,302,5.78452,"AC","Intralingual","C2",569,80,0.279139330244706,148.632450331126
"Participant48","C3-SDH","SUB",48.528,353,5.83704,"SDH","Intralingual","C3",986,116,0.451814127570829,137.473087818697
"Participant43","E1-ST","SUB",88.207,304,4.99116,"SS","Interlingual","E1",480,47,0.36220921876604,290.154605263158
"Participant43","E2-LC","SUB",156.13,584,4.88286,"AC","Interlingual","E2",674,63,0.640735740110722,267.345890410959
"Participant43","E3-SDH","SUB",96.182,312,4.86966,"SDH","Interlingual","E3",574,65,0.37954643210885,308.275641025641
"Participant34","C1-ST","SUB",43.58,269,3.99386,"SS","Intralingual","C1",399,55,0.280241014989486,162.007434944238
"Participant34","C2-LC","SUB",69.079,404,3.78017,"AC","Intralingual","C2",569,80,0.336785089194737,170.987623762376
"Participant34","C3-SDH","SUB",100.202,730,3.68151,"SDH","Intralingual","C3",986,116,0.550499945060982,137.26301369863
"Participant18","C1-ST","SUB",87.544,264,4.41836,"SS","Intralingual","C1",399,55,0.304659822516095,331.606060606061
"Participant18","C2-LC","SUB",92.251,203,4.26417,"AC","Intralingual","C2",569,80,0.320866347137103,454.43842364532
"Participant18","C3-SDH","SUB",180.885,567,3.94483,"SDH","Intralingual","C3",986,116,0.573220855687843,319.021164021164
"Participant9","E1-ST","SUB",8.333,66,5.42001,"SS","Interlingual","E1",480,47,0.144629963898917,126.257575757576
"Participant9","E2-LC","SUB",25.901,189,5.90792,"AC","Interlingual","E2",674,63,0.399337033610854,137.042328042328
"Participant9","E3-SDH","SUB",12.582,60,5.70992,"SDH","Interlingual","E3",574,65,0.0737402271635038,209.7
"Participant42","E1-ST","SUB",19.924,72,4.30772,"SS","Interlingual","E1",480,47,0.0787491205742156,276.722222222222
"Participant42","E2-LC","SUB",84.095,401,4.2633,"AC","Interlingual","E2",674,63,0.371054280394285,209.713216957606
"Participant42","E3-SDH","SUB",27.864,141,4.13284,"SDH","Interlingual","E3",574,65,0.112546349029397,197.617021276596
"Participant37","E1-ST","SUB",34.904,211,3.92533,"SS","Interlingual","E1",480,47,0.232552251634009,165.421800947867
"Participant37","E2-LC","SUB",52.531,377,3.8649,"AC","Interlingual","E2",674,63,0.422818737926594,139.339522546419
"Participant37","E3-SDH","SUB",33.972,233,4.01924,"SDH","Interlingual","E3",574,65,0.250884357760562,145.802575107296
"Participant18","E1-ST","SUB",103.441,325,4.68845,"SS","Interlingual","E1",480,47,0.429041302706783,318.28
"Participant18","E2-LC","SUB",111.629,327,4.27733,"AC","Interlingual","E2",674,63,0.535272793532362,341.373088685015
"Participant18","E3-SDH","SUB",76.826,292,4.24977,"SDH","Interlingual","E3",574,65,0.297662128338848,263.102739726027
"Participant9","C1-ST","SUB",8.248,53,4.66677,"SS","Intralingual","C1",399,55,0.26798362466697,155.622641509434
"Participant9","C2-LC","SUB",2.141,9,4.95326,"AC","Intralingual","C2",569,80,0.0289296958395827,237.888888888889
"Participant9","C3-SDH","SUB",0.9,6,5.09376,"SDH","Intralingual","C3",986,116,0.16366612111293,150
"Participant34","E1-ST","SUB",39.021,280,4.13233,"SS","Interlingual","E1",480,47,0.230021044440908,139.360714285714
"Participant34","E2-LC","SUB",60.796,482,4.22709,"AC","Interlingual","E2",674,63,0.430033598585323,126.132780082988
"Participant34","E3-SDH","SUB",52.035,333,4.12948,"SDH","Interlingual","E3",574,65,0.272244981243427,156.261261261261
"Participant42","C1-ST","SUB",37.945,151,4.24723,"SS","Intralingual","C1",399,55,0.138573400626675,251.291390728477
"Participant42","C2-LC","SUB",11.716,54,4.08294,"AC","Intralingual","C2",569,80,0.0428390172913719,216.962962962963
"Participant42","C3-SDH","SUB",20.782,91,3.93491,"SDH","Intralingual","C3",986,116,0.0695036220008963,228.373626373626
"Participant37","C1-ST","SUB",50.783,316,3.56489,"SS","Intralingual","C1",399,55,0.253111371395818,160.705696202532
"Participant37","C2-LC","SUB",59.602,401,3.42975,"AC","Intralingual","C2",569,80,0.321833742811631,148.633416458853
"Participant37","C3-SDH","SUB",99.865,671,3.39958,"SDH","Intralingual","C3",986,116,0.541699438583168,148.830104321908
