Recording	Participant	Timeline	TOI	Interval	Media	AOI	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording6	Participant29	G7-2	E3-SDH	1	E3-SDH	SUB	292809	66605		84927	252	66	1525	337	1970	158	IMA	IMA	3.46857	79403	254	66	1525	312	1970	158	3.47602	93849	1490	125	5633	78	1970	1450	96383	1530	141	5633	63	1937	1483	0			0			248	1937	3420	260.46	166.17													
Recording6	Participant29	G7-2	Entire Recording	1	AF1,AF2,AF3,E1-ST,E2-LC,E3-SDH,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,prefer (1),SD1	IMA	1168672	0	2	166484	317	44	3400	526	66605	112	IMA		3.21734	156722	323	66	3400	485	67367	100	3.22149	187204	2836	83	26097	66	66605	1937	190252	2883	125	26164	66	66605	1937	0			0			369	70025	68542	166.17	260.46													
Recording6	Participant29	G7-2	Entire Recording	1	AF1,AF2,AF3,E1-ST,E2-LC,E3-SDH,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,prefer (1),SD1	IMA	1168672	0	2	108673	462	67	6933	235	486661	141	IMA		3.2931	70260	368	67	2350	191	488728	250	3.21856	118796	2763	84	20056	43	486661	333	120512	2803	100	20106	43	486603	391	0			0			138	490120	489728	515.32	381.94													
Recording6	Participant29	G7-2	Entire Recording	1	AF1,AF2,AF3,E1-ST,E2-LC,E3-SDH,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,prefer (1),SD1	IMA	1168672	0	2	124735	301	66	1667	414	822834	83	IMA		3.35565	103942	300	66	1667	347	822834	83	3.35325	144233	1923	109	44420	75	822834	2408	147584	1968	134	44437	75	822818	2425	0			0			254	830517	825243	319.46	336.75													
Recording6	Participant29	G7-2	Entire Recording	1	AF1,AF2,AF3,E1-ST,E2-LC,E3-SDH,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,prefer (1),SD1	SUB	1168672	0	2	84927	252	66	1525	337	68575	158	IMA		3.46857	79403	254	66	1525	312	68575	158	3.47602	93849	1490	125	5633	63	68575	1450	96383	1530	141	5633	63	68542	1483	0			0			248	68542	70025	260.46	166.17													
Recording6	Participant29	G7-2	Entire Recording	1	AF1,AF2,AF3,E1-ST,E2-LC,E3-SDH,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,prefer (1),SD1	SUB	1168672	0	2	114369	299	67	4366	383	487924	167	IMA		3.24668	102611	294	67	4366	349	487924	167	3.24327	128227	2982	141	9899	43	487924	167	129869	3020	175	9915	43	487907	184	0			0			292	490536	490945	294.53	362.37													
Recording6	Participant29	G7-2	Entire Recording	1	AF1,AF2,AF3,E1-ST,E2-LC,E3-SDH,EE1,EE2,EE3,ENJ1,ENJ2,NP1,NP2,NP3,NU1,NU2,NU3,prefer (1),SD1	SUB	1168672	0	2	104937	258	66	1583	407	830375	142	IMA		3.33773	94828	265	66	1583	358	830375	142	3.35166	117552	1610	92	9682	73	830375	142	120528	1651	100	9732	73	830358	158	0			0			285	834783	830517	338.03	319.46													
Recording7	Participant41	G7-1	C1-ST	1	C1-ST	IMA	323636	570473		147742	235	63	1975	629	3106	142	IMA	IMA	4.6702	120788	235	66	1975	514	3106	142	4.69446	212217	1965	66	23106	108	3106	1900	215083	1992	67	23123	108	3073	1933	0			0			271	8923	5873	263.49	307.51													
Recording7	Participant41	G7-1	C1-ST	1	C1-ST	SUB	323636	570473		38571	179	67	975	215	5056	208	IMA	IMA	4.71537	34631	180	67	975	192	5056	208	4.71931	44445	423	67	2175	105	5056	208	48203	459	83	2216	105	5040	225	0			0			86	5873	12239	307.51	195.56													
Recording7	Participant41	G7-1	C2-LC	1	C2-LC	IMA	314288	119328		108232	261	66	2849	414	178	217	IMA		4.6842	80743	243	66	2849	332	661	167	4.71729	158659	1282	66	30414	116	178	650	152548	1315	83	30430	116	128	700	0			0			157	1036	10419	474.87	347.27													
